id,lat,lon,name,attributes,neighbors
653725,34.0360852,-118.3212048,,,"{'277327731', '1613324102'}"
653727,34.0369601,-118.3137462,,,"{'211317195', '277327759'}"
653728,34.0370526,-118.3115317,,,"{'211317195', '1613324270'}"
653731,34.0367935,-118.2875290,,,"{'279662575', '1614656082', '8566227767'}"
653733,34.0369881,-118.2843739,,,"{'8566227765', '8566227770'}"
653737,34.0380910,-118.2761867,,,"{'277327281', '304903610'}"
653740,34.0356378,-118.2690270,,,"{'277327297', '348128846'}"
653741,34.0322178,-118.2630467,,,"{'250745147', '8566199578'}"
653742,34.0316915,-118.2617701,,,"{'8566199573', '8566199575'}"
653744,34.0300770,-118.2572282,,,"{'8566199569', '348126983', '1614922713'}"
653748,34.0236116,-118.2436554,,,"{'540995277', '1614922653'}"
13882323,34.0377075,-118.2739969,,,"{'269988845', '1286041282'}"
14940433,34.0381152,-118.2840207,,,"{'122918140', '660937769', '4060211270', '8410586484'}"
14940434,34.0381727,-118.2858251,,,"{'1613525171', '1614656254', '8410586459', '8410586453'}"
17680180,34.0327138,-118.2682809,,,"{'1866577817', '72092127'}"
20400292,34.0273404,-118.2765547,,,"{'6813513564', '6813565320', '5556117120'}"
20948459,34.0370812,-118.2953073,,,"{'660937762', '658960086'}"
20948460,34.0371664,-118.3021335,,,"{'211316782', '660937748'}"
20948461,34.0372425,-118.3120184,,,"{'658960084', '20948462'}"
20948462,34.0371594,-118.3138357,,,"{'209897389', '20948461'}"
20948463,34.0367640,-118.3179777,,,"{'418030179', '209897312'}"
21063604,34.0275929,-118.2521270,,,"{'660529420', '348126854'}"
21063605,34.0301185,-118.2568646,,,"{'8566227666', '8566227664'}"
21063606,34.0308353,-118.2585503,,,"{'8566227663', '250745152'}"
21063607,34.0318827,-118.2617763,,,"{'8566227661', '8566227660'}"
21063608,34.0324842,-118.2631792,,,"{'8566227676', '540998208'}"
21063610,34.0344255,-118.2666035,,,"{'365375439', '540998208', '8566227655'}"
21098478,34.0384459,-118.2743425,,,"{'8566227645', '8566227643', '8566227642'}"
21098480,34.0370683,-118.2918820,,,"{'279663126', '660937762'}"
21098481,34.0371004,-118.2965392,,,"{'658960085', '658960086'}"
21098483,34.0375587,-118.3002229,,,"{'4014979446', '5345018538', '21098484', '5345018537', '2607729737'}"
21098484,34.0365676,-118.3002133,,,"{'1614656059', '5345018540', '5345018536', '21098483'}"
21098486,34.0327366,-118.3002805,,,"{'9204859107', '8880155002', '8880155000', '9204859103'}"
21098538,34.0108618,-118.2915644,,,"{'5618016861', '1855143723', '5618016857', '5618016858', '5618016860', '1855143727'}"
21098539,34.0254900,-118.2915534,,,"{'4015203133', '6389467808', '1286136440', '1286136455', '6389467809'}"
21098540,34.0327526,-118.2915662,,,"{'6813416139', '6813416135', '6813416133', '6813416137'}"
21098545,34.0343642,-118.2720528,,,"{'7566035005', '7863404947', '5680945530', '7225140904'}"
21098546,34.0309930,-118.2647022,,,"{'4060083400', '3574052697', '1866577831', '4012726941'}"
21098548,34.0356829,-118.2608975,,,"{'122607549', '122665554', '4020262093'}"
21302776,34.0323560,-118.2664571,,,"{'6788017724', '9598720154', '72092109'}"
21302781,34.0203714,-118.2744343,,,"{'6807241405', '7424313398', '1732340074', '7867482499'}"
21302782,34.0162746,-118.2770674,,,"{'6820982899', '6820982894', '6820982898', '6820982896'}"
21302785,34.0111025,-118.2799533,,,"{'1837206578', '6788332705', '6788332708', '4020099329', '4020099327'}"
21302793,34.0157624,-118.2759344,,,"{'6820982916', '6820982912', '6820982918', '6820982914'}"
21302795,34.0111015,-118.2789125,,,"{'6503044366', '4060035996', '1837206592', '122609799', '6503044365'}"
21302797,34.0108560,-118.3001932,,,"{'9000146128', '8410613361', '7811483256', '8410613356'}"
21302801,34.0111368,-118.2827383,,,"{'5617977522', '5617976418', '1855143754', '1870795205', '1855143774'}"
21306015,34.0184629,-118.3089130,,,"{'4009744692', '6807424189', '601390385', '4009734467'}"
21306016,34.0187215,-118.3166010,,,"{'7385071945', '122728876', '2613081565'}"
21306059,34.0253894,-118.2876014,,,"{'6813379476', '544672028'}"
21306060,34.0237673,-118.2840103,,,"{'6813379466', '6813379465', '6813379469', '544671962'}"
21306061,34.0240911,-118.2838474,,,"{'6813379428', '544671955'}"
21748268,34.0368623,-118.2607612,,,"{'6793327689', '1967655199', '611590776'}"
21748269,34.0363510,-118.2603565,,,"{'6750610738', '123120136', '1967655199', '4020262093'}"
21748270,34.0376540,-118.2621487,,,"{'122625837', '4020262102', '4020262098', '6279600808', '1967655203', '6123510349'}"
21748271,34.0380955,-118.2629558,,,"{'123459633', '611590773', '122625837', '6835921894'}"
24043578,34.0148908,-118.2565196,,,"{'7811845043', '2556555750', '122594841'}"
25522205,34.0081646,-118.3089167,,,"{'123184118', '6276831468', '123184115'}"
25522208,34.0399355,-118.3090012,,,"{'8382458681', '8411110027', '7811315761', '7811315765'}"
25522209,34.0352531,-118.2739636,,,"{'7362236507', '29098662', '4019956954'}"
25522213,34.0399724,-118.2738357,,,"{'8566227356', '3194655790'}"
26493029,34.0244432,-118.2505534,,,"{'6790536055', '7278891194', '1778692897', '8410999615'}"
29098662,34.0350198,-118.2734477,,,"{'7362236498', '5631579858', '25522209'}"
29477080,34.0267535,-118.2747323,,,"{'3194655793', '1400581341'}"
29477081,34.0292254,-118.2742922,,,"{'1400581343', '1613487073'}"
33078871,33.9933311,-118.2739779,,,{'4343588821'}
33078873,33.9942250,-118.2739806,,,"{'4343588822', '4343588825'}"
33078879,34.0111259,-118.2740312,,,"{'4343588863', '4343588866', '4343588864', '4343588865'}"
33078880,34.0148892,-118.2740424,,,"{'1773954382', '4015477533', '123120189'}"
33078883,34.0167884,-118.2738150,,,"{'4343588870', '8874134787', '1738429784'}"
33078886,34.0200304,-118.2717673,,,"{'122993638', '4012726920', '1732340091'}"
33078887,34.0267380,-118.2674782,,,"{'4012726937', '123120151', '6816895139'}"
38560105,34.0380209,-118.2726223,,,"{'8566227644', '8566227647'}"
38560128,34.0384479,-118.2777871,,,"{'8566227748', '1614656278', '304904197'}"
38642344,34.0381408,-118.2734681,,,"{'9412729898', '38642352'}"
38642352,34.0384978,-118.2735344,,,"{'304903521', '38642344'}"
38642361,34.0391995,-118.2735199,,,"{'304903519', '4422861188', '8566199608'}"
38724016,34.0385489,-118.2742413,,,"{'1286041293', '304904240'}"
38724023,34.0377297,-118.2743759,,,"{'1286041293', '277328421', '214306675'}"
38724129,34.0373570,-118.2721758,,,"{'8566199561', '8566199563'}"
38724146,34.0366785,-118.2709767,,,"{'38724150', '348128628', '1363770931'}"
38724150,34.0363951,-118.2705032,,,"{'38724154', '38724146'}"
38724154,34.0360955,-118.2700273,,,"{'38724150', '38724158'}"
38724158,34.0358156,-118.2696021,,,"{'38724154', '38724166'}"
38724166,34.0349878,-118.2683031,,,"{'250656642', '38724158'}"
38724182,34.0392946,-118.2737547,,,"{'1613525173', '2382014279'}"
38724186,34.0393595,-118.2739324,,,"{'2382014275', '3194655790'}"
50781892,34.0350874,-118.2675977,,,"{'660529415', '660529414'}"
50781917,34.0283786,-118.2745175,,,"{'1400581338', '1400581339'}"
60947733,34.0435520,-118.3130435,,,"{'7867777999', '6804857551'}"
60947736,34.0435414,-118.3163816,,,{'6805864026'}
60957896,34.0379096,-118.2711535,,,"{'4019917129', '123067117'}"
60957897,34.0374984,-118.2700752,,,"{'7642589440', '348128956', '4020023719', '277328547'}"
60957905,34.0357421,-118.2663280,,,"{'3663661823', '7278984140', '3663661821', '3663661820'}"
63043848,34.0255994,-118.3259629,,,"{'6807980453', '123094473'}"
63043854,34.0255810,-118.3212433,,,"{'2514544245', '123273637'}"
63043860,34.0255709,-118.3200524,,,"{'2514544245', '8222403823'}"
63051532,34.0255510,-118.3176424,,,"{'713030841', '4009734475', '7281990596', '4009734476'}"
63051545,34.0255531,-118.3138306,,,"{'1771091171', '6807502821', '8872832580', '8872832569'}"
63051554,34.0255620,-118.3089087,,,"{'703112369', '4009734468', '4059513785', '8411546872'}"
63051562,34.0255350,-118.3066589,,,"{'8410844387', '2613081556', '8530535253'}"
63051574,34.0184168,-118.3130561,,,"{'4400391454', '4400391458'}"
63051580,34.0185227,-118.3148157,,,"{'1841016360', '4400391466', '4400391465'}"
63051586,34.0188848,-118.3177361,,,"{'7385071945', '7385071944', '601390383', '8144364779'}"
63051593,34.0191207,-118.3189731,,,"{'7479570689', '7385071944', '122783736'}"
63051646,34.0183944,-118.3061903,,,"{'123287847', '7432340642', '8530535266', '123112838'}"
63068516,34.0255134,-118.3027683,,,"{'703112404', '8530535249', '6792300591', '8530535248', '8530535250'}"
63068522,34.0255080,-118.3002437,,,"{'6814958428', '1878000356', '6814958423', '6814958425'}"
63068532,34.0255152,-118.2959053,,,"{'6818427947', '6818427945', '6818427949', '6818427951'}"
63068564,34.0183833,-118.3001782,,,"{'8144251522', '4015203105', '270840204', '7644975634'}"
63068577,34.0183522,-118.2944346,,,"{'122602810', '8144251526', '8144251525', '8530535262'}"
63068593,34.0183690,-118.2931252,,,"{'6807245745', '8144251526'}"
63068610,34.0251461,-118.2870615,,,"{'6818390139', '6818390143', '6813379474', '6818390140'}"
63068643,34.0219044,-118.2800026,,,"{'6813379496', '6813379493', '6813379494', '5690152757'}"
63068674,34.0183463,-118.2915469,,,"{'6813379574', '6813379564', '6813379562', '2193439972'}"
63765355,34.0178643,-118.2746220,,,"{'6816305554', '6816305553', '123254974', '6808187445', '6816305558'}"
63765376,34.0171741,-118.2817732,,,"{'6820972452', '9446678100'}"
63785414,34.0253432,-118.2697557,,,"{'4011837229', '6788584348', '4011837228', '4060127202'}"
63785441,34.0314578,-118.2657439,,,"{'4012842279', '4060083400', '1778692816', '1738419613'}"
